state,county,tract,czname,par_rank_pooled_pooled_mean,par_rank_black_pooled_mean,kid_black_pooled_blw_p50_n,kid_pooled_pooled_blw_p50_n,poor_share2010,share_black2010,hhinc_mean2000,ln_wage_growth_hs_grad,frac_coll_plus2010,log_kid_black_pooled_blw_p50_n,log_kid_pooled_pooled_blw_p50_n,kfr_pooled_pooled_p25,kfr_pooled_pooled_p25_se,kfr_black_pooled_p25,kfr_black_pooled_p25_se,kfr_white_pooled_p25,kfr_white_pooled_p25_se,kfr_top20_pooled_pooled_p25,kfr_top20_pooled_pooled_p25_se,kfr_top20_black_pooled_p25,kfr_top20_black_pooled_p25_se,kfr_top20_white_pooled_p25,kfr_top20_white_pooled_p25_se,jail_pooled_pooled_p25,jail_pooled_pooled_p25_se,jail_black_pooled_p25,jail_black_pooled_p25_se,jail_white_pooled_p25,jail_white_pooled_p25_se
48,113,12000,Dallas,0.31424284,0.29244059,1228.4067,1923.2429,0.1982484,0.41244432,48738.723,-0.079991445,0.07508731,7.1134732428012235,7.5617680506644795,0.33767911002274437,0.0069208667,0.3067231745234653,0.0084763272,0.3846254857636599,0.026258128,0.032383498067013725,0.0053680241,0.009650581386943876,0.0068436428,0.07499874665292375,0.034189932,0.03723642182323231,0.0095252218,0.05614713516484057,0.01214556,0.03495139058171299,0.023961572
48,113,12100,Dallas,0.35721919,0.35407716,655.01703,1200.0801,0.25225994,0.47827604,68142.21,0.06752071,0.16970138,6.484661235297258,7.09014358354841,0.34053652367960774,0.0090193739,0.32495783569167125,0.011407667,0.41666182283263514,0.041229989,0.06937126916948574,0.0098553766,0.03491099296888994,0.011056422,0.2809278628792303,0.045425765,0.03472323450931452,0.010148547,0.03624462894123391,0.012316442,0.04154456489701713,0.046724521
48,113,12204,Dallas,0.43528029,0.29855168,513.72986,989.97327,0.13530971,0.22147302,77059.08,0.75367403,0.22619851,6.241697563095556,6.897677942764129,0.39965326797920964,0.01152708,0.3528629967970696,0.012664064,0.4797931494371017,0.034408994,0.0391334174034225,0.012229922,0.011740829721628446,0.0068509164,0.1672190916788291,0.047506746,0.0320991239738669,0.013145663,0.06192707543170196,0.018990664,0.03213830941953936,0.032275606
48,113,12206,Dallas,0.49071854,0.45280969,430.19949,586.98682,0.13093495,0.44039088,77658.81,0.374255,0.27460086,6.064249031337808,6.375002366424402,0.35103018146785325,0.014761633,0.33807837612502717,0.017266722,0.3861625100555442,0.056004345,0.12635190470528518,0.016959228,0.053214047082537325,0.015198166,0.19938926891038633,0.074605517,0.031058362190989272,0.01229955,0.030554188375780833,0.015918462,0.033829305660885454,0.044322006
48,113,12207,Dallas,0.38926399,0.35758621,991.5921,1431.3776,0.21981981,0.4591058,60902.875,0.23084825,0.13076533,6.899311833207153,7.266392616167099,0.37103235511247207,0.0087218927,0.31316276859316167,0.0089387679,0.4251958650398154,0.0471237,0.013729148371065661,0.0059767724,0.014833721627286345,0.0059156138,0.11288566859467519,0.050520133,0.03448880740923883,0.0084985346,0.04172205129533259,0.009339951,0.04386817668285567,0.052688014
48,113,12208,Dallas,0.21905664,0.21790797,240.2356,1019.5833,0.47666195,0.3517715,44662.508,-1.0032994,0.021421617,5.481620108489038,6.9271492933956775,0.31206539817148754,0.011230147,0.35987740173233673,0.013696929,0.24238549322181768,0.067677841,0.048649048830016195,0.009100928,0.008749362143068073,0.0079306252,0.1340902833095639,0.067517512,0.05524690865336948,0.02224659,0.06193194578478639,0.023754628,,
48,113,12209,Dallas,0.43877009,0.26767334,290.5582,500.30273,0.211,0.118297584,75201.984,0.24036963,0.3598015,5.671803900459819,6.215213375205236,0.39097302424145863,0.016345732,0.34594059085951523,0.015133983,0.4697227731960444,0.054034542,0.12273462191970726,0.021221906,0.023255510878265558,0.0096622705,0.20005378635413318,0.080408148,0.033704083192437895,0.016109088,0.05957308000011185,0.02287858,0.028689979359016966,0.032102689
48,113,12210,Dallas,0.30405861,0.25085104,699.01324,986.0376,0.42751274,0.5241379,53377.383,-0.13023818,0.14498696,6.549669683399204,6.893694487749797,0.3195437974102726,0.0084630623,0.287805836813551,0.0095455479,0.3747093558981723,0.045453601,0.011513311144456098,0.0065878942,0.0026437376531844373,0.0066610016,0.10642303190644212,0.062812015,0.04334331716589626,0.011539195,0.04820760326005183,0.013678197,-0.043499674672418734,0.040166069
48,113,12211,Dallas,0.36006546,0.29009897,873.8432,1083.6373,0.27119038,0.42539763,51633.348,-0.1788025,0.114048935,6.772900954526202,6.988078531914557,0.3807966355641411,0.0088612139,0.29897812844813937,0.010177688,0.40053087127192377,0.041768968,0.06699491238539743,0.0096815284,-0.0012720884485461145,0.0072235549,-0.01903027332434115,0.060460001,0.04148629887016147,0.012053394,0.05252737490172674,0.016994843,0.04256160856982723,0.045387164
48,113,12301,Dallas,0.37068439,0.25024146,445.53345,1163.9575,0.19320874,0.12459991,52622.695,0.009114548,0.09176672,6.099272328267273,7.059581115597312,0.41724022473287803,0.012091958,0.3363459359226043,0.016283948,0.39526527727916455,0.026410136,0.07439867856616478,0.017012907,0.01866900155647759,0.010505988,0.11104992015282165,0.043205723,0.02886587941618861,0.011055117,0.02162420121869567,0.027199231,0.02695541217195769,0.019765433
48,113,12302,Dallas,0.31145686,0.27351439,704.3089,1631.1653,0.46310934,0.4552518,54616.516,0.046401504,0.10479944,6.557217038332037,7.397049946351291,0.3178320822444195,0.0085001839,0.29272415518395345,0.010161392,0.3951380927650983,0.024901826,0.03328288308483582,0.0096435575,0.026523205354141287,0.0072408658,0.11074389491289532,0.030263282,0.03953162438770906,0.010098262,0.04215545254572396,0.014758887,0.034709434296643936,0.025162814
48,113,12400,Dallas,0.44709495,0.29831177,58.415524,645.784,0.11812227,0.056119516,76644.33,0.017257404,0.31831923,4.067581676427603,6.470465082544975,0.38706742028998375,0.015104169,0.3241353463990797,0.030244851,0.42757343546643595,0.025960367,0.06044085034884178,0.017644458,-0.014931702848260536,0.018209621,0.17960647036063715,0.037733305,0.017041894360257874,0.0098231202,0.06055457878142883,0.05790158,0.0096288845244103,0.0091356291
48,113,12500,Dallas,0.39749113,0.28447273,197.60362,1428.8508,0.15558976,0.070296526,67421.38,-0.056689505,0.13084885,5.286263104984018,7.264625763801505,0.3983611287512953,0.01034198,0.3339033384327297,0.022709424,0.41813193555510225,0.019124039,0.0885758033223236,0.013285236,0.03360862138225539,0.017541246,0.08991202664650452,0.02788732,0.019212580782404794,0.0089898026,0.05667713275006532,0.047676153,0.017892001054684473,0.010451995
