"","firm_id","est","se","ttest_p","ttest_p_greater","ttest_p_less","t_stat","post_mean_u","post_mean_beta","lower_ci_u","upper_ci_u","lower_ci_beta","upper_ci_beta","lower_ci_beta95","upper_ci_beta95","normal_mean_beta","sic_combined","sic_name"
"14",80,0.07,0.0391491131601278,0.0799546188756171,0.0399773094378086,0.960022690562191,1.78803539466363,1.25136770944895,0.0489899360621469,0.498429878401834,2.18049730529967,0.0195130877119421,0.0853645357505305,0.0142900984956835,0.098442900748042,0.0270415865722511,53,"General merchandise"
"15",109,-0.0148401826484018,0.0100657489089888,0.144753379464473,0.927623310267763,0.0723766897322367,-1.47432474052173,0.65375516010291,0.00658053528955166,0.0907206416791346,1.29570422351141,0.000913171200004514,0.0130422333741821,0.00047270038588469,0.0143851321977182,-0.00733476793849803,51,"Wholesale nondurable"
"16",110,0.00999999999999999,0.0110689892276812,0.369232017775763,0.184616008887881,0.815383991112119,0.903424856082804,1.04532640195059,0.0115707066826018,0.342603835047085,1.79626870524687,0.00379227815949845,0.0198828789483984,0.00246911568640242,0.0221275295724006,0.0120291622710872,87,"Engineering services"
"17",60,0.0613333333333334,0.0240434195052488,0.0119593411366548,0.00597967056832741,0.994020329431673,2.55094053156391,1.54094443272351,0.0370495734302489,0.655323223423396,3.01619451041452,0.0157562111723006,0.0725196299233248,0.0124458671312146,0.0847602044008287,0.0336990675210058,55,"Auto dealers / services"
"18",20,0.00273224043715847,0.0139195638768531,0.844714204018329,0.422357102009165,0.577642897990835,0.196287790431561,0.913834843824718,0.0127201824815123,0.238008271699377,1.61269281855497,0.00331297134113889,0.0224479807016182,0.00197589770570167,0.0247507186293156,0.00816494569778165,49,"Electric / gas"
"19",121,0.0233333333333333,0.0172248859704991,0.179657304885651,0.0898286524428254,0.910171347557175,1.35462919019006,1.14165077637912,0.0196648044412621,0.419449555057646,1.95636395526887,0.00722497075624454,0.0336981460463009,0.00501887281540651,0.038036805329949,0.0206499545575356,24,"Other manufacturing"
"20",19,0.022,0.0163174159877148,0.180034756319916,0.0900173781599582,0.909982621840042,1.34825269004379,1.14018748677252,0.0186049135256542,0.418382253390833,1.95316205026843,0.00682691727045571,0.0318705576656478,0.00473704463664274,0.0359632249068649,0.0200591499930505,53,"General merchandise"
"21",89,0.0443121693121693,0.0261707611115423,0.0929093357932456,0.0464546678966228,0.953545332103377,1.69319375631861,1.22532135062149,0.0320675923519875,0.48135305173282,2.12179571362494,0.0125973757272115,0.0555290087487727,0.00910586360769612,0.0637131131569168,0.026406659600481,54,"Food stores"
"22",117,0.0166666666666667,0.02086708976919,0.427017016585318,0.213508508292659,0.786491491707341,0.798705849786239,1.02464557006449,0.0213813710921387,0.325527008378071,1.76531695690928,0.00679280130612109,0.0368370274108993,0.00436521001967126,0.040912708194572,0.0171958505372755,24,"Other manufacturing"
"23",112,0.0168918918918919,0.0146941239237005,0.254074271528302,0.127037135764151,0.872962864235849,1.14956781224953,1.09620932884348,0.0161078357243426,0.383161298385992,1.87738363192468,0.00563021960124976,0.0275865077398282,0.00381098429833897,0.0308956340235711,0.0171705326915726,56,"Apparel stores"
"24",116,-0.0227272727272727,0.0199538896834332,0.263162494216726,0.868418752891637,0.131581247108363,-1.138989594903,0.701212354868054,0.0139919139736976,0.109932071681775,1.35227121185251,0.00219357243100941,0.0269830705833876,0.00115002826480105,0.0297090635073604,-0.000873832238352856,63,"Insurance / real estate"
"25",119,0.0733333333333333,0.0250105083020223,0.00447777016145512,0.00223888508072756,0.997761114919272,2.93210087727021,1.78941470724611,0.0447541713913397,0.747111166769344,3.71634440384408,0.0186856300390182,0.0929476625655165,0.015188747846002,0.104692915732899,0.0371043874677764,56,"Apparel stores"
"26",92,0.00739247311827957,0.0065429735433148,0.260744731735088,0.130372365867544,0.869627634132456,1.12983386977512,1.09199633342553,0.00714490311899998,0.379959393385552,1.8709798219238,0.00248606425845561,0.0122417714749233,0.00167599837648693,0.0137012867277806,0.00854457129765493,51,"Wholesale nondurable"
"27",66,0,0.0119979449985876,1,0.5,0.5,0,0.880075447987885,0.010559096819566,0.21346033336267,1.57000075188244,0.0025610853390655,0.0188367826688267,0.00148542949665799,0.0207319858197352,0.00527282787821358,80,"Health services"
"28",96,0.00303030303030303,0.0276904043674198,0.913263042503071,0.456631521251535,0.543368478748465,0.109435131032916,0.898775943924164,0.0248874693229695,0.227335255031243,1.59348138855233,0.00629500513878563,0.0441241440009716,0.00369425184201035,0.0486163542408562,0.0131580423590425,54,"Food stores"
"29",4,0.00604838709677419,0.0141596580440454,0.670012300813894,0.335006150406947,0.664993849593053,0.427156296992478,0.954882018773666,0.0135208028582429,0.270027321703777,1.66712520356245,0.00382349453787493,0.0236059227990539,0.00234245712794709,0.0260692809400563,0.0103618343180448,73,"Business services"
"30",35,-0.00384615384615386,0.0116183134361486,0.741693947010988,0.629153026494506,0.370846973505494,-0.331042355440948,0.825225270550593,0.00958772584868736,0.177172076691016,1.50169344520638,0.00205844071912959,0.0174471451314177,0.00115322281252441,0.0191831794728522,0.00229299792187777,63,"Insurance / real estate"
"31",78,-0.0147849462365592,0.0143155588235419,0.303729254235857,0.848135372882071,0.151864627117929,-1.0327886196273,0.716737760553692,0.01026050157226,0.117403183349468,1.37148264185515,0.00168069217731039,0.019633540434944,0.000886183148036385,0.0216045339883353,-0.0025291759085367,60,"Banks / credit"
"32",7,-0.00403225806451613,0.0117980423031858,0.73310459220313,0.633447703898435,0.366552296101565,-0.341773487574909,0.823488241072526,0.00971554910434975,0.176104775024203,1.49955884187276,0.00207769158552856,0.0176918586525311,0.00115847045980987,0.0194547484826765,0.00229675008761863,73,"Business services"
"33",86,0.0510752688172043,0.0204380428223844,0.0137717983135401,0.00688589915677003,0.99311410084323,2.4990293474317,1.51439611398831,0.0309512926277455,0.643582905088449,2.93294498040308,0.0131535749739523,0.0599436551051755,0.0103396260989276,0.0702396540897617,0.0325423887453012,54,"Food stores"
